User_ID,Calories,BMI,Duration,Age,Heart_Rate,Calories_Burned
14733363,231.0,26.038781163434905,107,33,114,282.3788035809812
14861698,66.0,21.773842357381334,56,36,135,109.0944285192094
11179863,26.0,24.65590961580475,97,56,102,297.08111129976686
16180408,71.0,22.15910864205237,19,23,118,37.86001298035147
17771927,35.0,24.45606341710237,111,28,89,302.41826796707164
15130815,123.0,21.928862769176792,76,29,118,157.6347429991791
19602372,112.0,22.43230251562249,65,59,68,217.3996103069107
11117088,143.0,27.755102040816325,25,30,151,56.543807556483394
12132339,134.0,27.170771187420502,107,29,127,268.6686853791935
17964668,72.0,23.925689622818545,87,38,98,236.74206279666046
13723164,3.0,24.25867407194612,91,27,140,180.71849739308357
13681290,92.0,22.7189744005842,79,37,70,233.73776357632866
15566424,58.0,27.01685988851271,79,53,61,302.13968681388326
12891699,88.0,21.907582457706194,92,45,82,262.09117602962027
13823829,7.0,25.661152034778407,104,41,122,273.56293206383884
17557348,170.0,25.476660092044707,108,22,173,170.08534858067358
12198133,11.0,24.755464315903875,28,54,81,93.13100907696509
15236104,43.0,23.45856237526697,7,29,120,15.471387107919623
11042324,15.0,22.229061933586404,26,52,85,77.11129276151907
16864285,74.0,24.332277048438208,57,57,71,197.85545049605864
11674347,29.0,26.035105400184765,6,19,91,16.23985057595023
19797300,32.0,22.826880934989045,92,58,68,309.9569087427565
14711095,10.0,24.341758286340216,112,62,166,252.79166401361147
14434854,155.0,21.6712580348944,34,56,128,81.15555070959903
14893804,3.0,25.661152034778407,42,59,149,108.28829875191727
17231597,24.0,24.21229338842976,6,26,130,12.602921993268337
10901446,12.0,24.3910588392529,68,39,152,139.2401010703023
15874362,10.0,24.37673130193906,64,64,92,211.93964417938273
15569252,195.0,23.337684427040067,25,22,83,64.52905399003535
15615743,5.0,25.64891761567662,37,29,148,76.22420899522744
13363046,69.0,26.27728507868255,80,18,154,148.03177604563737
17572853,136.0,23.046875,62,61,152,142.17089746653917
17157339,80.0,21.6712580348944,26,39,128,54.24272739563196
18328111,107.0,24.977043158861346,112,55,97,352.568817990438
19303479,200.0,25.35925612848689,93,36,168,174.703508289034
10699201,56.0,23.63403300753084,53,33,70,158.2455298114945
15283313,50.0,24.87771968291449,95,48,91,294.1050652507024
16324247,100.0,24.151672503320853,63,20,123,131.28811434979932
14277710,200.0,25.401701323251416,46,40,131,113.22916306426136
10888188,4.0,25.68007405416704,96,59,79,339.9175323217629
13379795,70.0,23.124670372023203,64,35,93,169.67070883929296
17181524,127.0,22.59814049586777,84,43,170,141.1012973468388
15988442,197.0,24.9680097375238,19,30,101,50.34856480348761
19538533,113.0,22.571047501795427,66,35,67,194.61327945148
14591877,11.0,23.1084345786212,66,20,125,128.36939968329835
14274480,82.0,22.892819979188346,51,40,80,147.54979059018746
16818429,26.0,25.401701323251416,66,20,138,132.77390413385044
17476522,141.0,22.571047501795427,55,42,129,122.19730744602299
16369885,92.0,25.77251808021039,112,44,64,391.01571930512654
17816292,5.0,25.53670360110804,59,61,177,130.753868827561
15995398,30.0,24.967113211092915,120,44,177,222.55419774380738
17615432,3.0,25.15589569160998,68,56,126,189.50378719492898
10146087,37.0,22.783308885490467,7,42,166,12.157373359258925
17967445,147.0,24.83576349943919,105,41,102,295.7449834798438
19670291,8.0,22.79032897344431,55,25,75,147.7018837071788
10580576,159.0,27.68564458211124,11,26,158,22.962868744818735
15854213,93.0,24.14151925078044,25,63,132,67.99693719496304
11138472,173.0,24.16716240333136,77,54,94,237.53349834160454
18276801,89.0,25.7626772778288,43,47,142,106.33712212756612
13823902,31.0,25.18107741059303,22,36,102,60.832091777337105
19222133,35.0,22.145328719723185,8,33,169,11.745891020000396
13231909,94.0,25.53544639152223,93,41,157,198.71596349064362
12726617,49.0,22.58955143605005,64,61,98,191.0495969744028
12538968,54.0,22.4981738495252,18,38,69,53.39724670629494
10941668,117.0,24.560326301478007,118,53,133,303.73854082181487
12628985,173.0,25.79591836734694,13,57,79,45.73161592265969
17691320,99.0,24.43518666880308,94,56,60,339.8471928678636
17822027,45.0,22.66270867247598,57,64,65,199.43342713787806
13777657,166.0,24.158817968558527,6,23,112,13.732175041404455
19423359,202.0,22.79032897344431,88,22,105,195.42951488750904
14701930,107.0,25.057360222195385,96,31,125,225.39353326269463
11513205,199.0,25.59373706198954,115,62,97,383.83034407839335
11842710,25.0,25.227864583333336,64,59,92,212.10219566602933
12576313,23.0,20.91070815517618,75,21,126,128.5541710144859
12367125,200.0,24.95659722222222,48,25,159,84.69292861695345
16913504,6.0,22.67573696145125,12,41,136,25.430677540614717
19439155,7.0,26.19618735008206,51,28,94,144.93550289932875
16137644,113.0,24.09297052154196,39,34,138,82.6587142141752
11622081,188.0,22.321428571428577,82,38,104,202.32486479104074
17374074,103.0,26.44628099173554,85,43,81,281.54354279585357
19096890,128.0,26.02489113349996,40,60,166,96.0637793011585
19628507,130.0,25.45111384369012,54,65,127,160.04686376398274
16918679,27.0,24.11265432098765,108,61,76,372.57984066284246
11194130,185.0,23.335466144755166,8,62,64,28.39269686411952
